Description,Action,Symbol,Date,Quantity,Currency,BuyPrice
MAGNA INTERNATIONAL,BUY,MG.TO,5/14/2014,25,CAD,45.71
PASON SYSTEMS INC,BUY,PSI.TO,7/9/2014,50,CAD,19.51
ENERFLEX LTD,BUY,EFX.TO,12/10/2014,125,CAD,13.08
GILDEN ACTIVEWEAR INC,BUY,GIL.TO,3/8/2017,45,CAD,32.71
STINGRAY,BUY,RAY-A.TO,6/12/2019,75,CAD,6.77
STINGRAY,BUY,RAY-A.TO,7/20/2019,100,CAD,6.75
ANDLAUER HEALTHCARE  GROUP,BUY,AND.TO,2/10/2021,125,CAD,23.98
CONTRIBUTION,DEPOSIT,DEPOSIT,5/12/2014,0,CAD,5000
CONTRIBUTION,DEPOSIT,DEPOSIT,3/6/2017,0,CAD,2000
CONTRIBUTION,DEPOSIT,DEPOSIT,6/12/2019,0,CAD,3500
CONTRIBUTION,DEPOSIT,DEPOSIT,3/16/2018,0,CAD,2000
ATLAS,BUY,ATCO,3/28/2018,75,USD,5.43
FULGENT,BUY,FLGT,5/27/2020,25,USD,15.82
EBAY,BUY,EBAY,12/26/2019,30,USD,35.62
